ax,ay,az,mx,my,mz,gx,gy,gz,pitch,roll,yaw
0.010,-0.025,1.006,-33.000,-12.000,-70.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.009,-0.027,1.006,-34.000,-13.000,-74.000,0.000,-0.122,0.122,-0.01,-0.03,0.01
0.009,-0.029,1.005,-34.000,-13.000,-74.000,-0.061,-0.061,0.061,-0.01,-0.03,0.01
0.008,-0.028,1.006,-34.000,-13.000,-74.000,0.000,-0.061,0.000,-0.01,-0.03,0.01
0.006,-0.025,1.006,-34.000,-13.000,-74.000,0.000,-0.122,0.000,-0.01,-0.03,0.01
0.008,-0.026,1.006,-34.000,-13.000,-74.000,0.000,-0.122,0.000,-0.01,-0.03,0.01
0.009,-0.026,1.005,-34.000,-13.000,-74.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.009,-0.025,1.005,-33.000,-10.000,-69.000,-0.061,-0.061,0.000,-0.01,-0.02,0.01
0.007,-0.026,1.006,-33.000,-10.000,-69.000,0.000,-0.122,0.000,-0.01,-0.03,0.01
0.007,-0.024,1.005,-33.000,-10.000,-69.000,0.000,-0.122,0.000,-0.01,-0.02,0.01
0.008,-0.026,1.006,-33.000,-10.000,-69.000,0.000,-0.061,0.061,-0.01,-0.03,0.01
0.009,-0.027,1.006,-33.000,-10.000,-69.000,-0.061,-0.122,0.061,-0.01,-0.03,0.01
0.008,-0.029,1.005,-32.000,-13.000,-69.000,-0.061,-0.122,0.061,-0.01,-0.03,0.01
0.008,-0.027,1.005,-32.000,-13.000,-69.000,-0.061,-0.183,0.000,-0.01,-0.03,0.01
0.008,-0.025,1.004,-32.000,-13.000,-69.000,-0.061,-0.122,0.061,-0.01,-0.02,0.01
0.008,-0.025,1.004,-32.000,-13.000,-69.000,-0.061,-0.061,0.061,-0.01,-0.02,0.01
0.009,-0.026,1.004,-32.000,-13.000,-69.000,-0.061,-0.122,0.061,-0.01,-0.03,0.01
0.009,-0.028,1.004,-31.000,-12.000,-74.000,0.000,-0.183,0.000,-0.01,-0.03,0.01
0.009,-0.029,1.006,-31.000,-12.000,-74.000,0.000,-0.122,0.000,-0.01,-0.03,0.01
0.008,-0.028,1.006,-31.000,-12.000,-74.000,0.000,-0.122,0.000,-0.01,-0.03,0.01
0.008,-0.026,1.005,-31.000,-12.000,-74.000,0.000,-0.183,0.061,-0.01,-0.03,0.01
0.009,-0.024,1.004,-31.000,-12.000,-74.000,0.000,-0.122,0.000,-0.01,-0.02,0.01
0.008,-0.025,1.005,-32.000,-12.000,-70.000,0.061,-0.122,0.061,-0.01,-0.02,0.01
0.010,-0.026,1.005,-32.000,-12.000,-70.000,-0.061,-0.122,0.000,-0.01,-0.03,0.01
0.009,-0.027,1.005,-32.000,-12.000,-70.000,-0.061,-0.122,0.000,-0.01,-0.03,0.01
0.008,-0.026,1.004,-32.000,-12.000,-70.000,0.000,-0.183,0.061,-0.01,-0.03,0.01
0.009,-0.025,1.005,-32.000,-12.000,-70.000,0.000,-0.122,0.061,-0.01,-0.02,0.01
0.007,-0.024,1.004,-32.000,-12.000,-70.000,0.000,-0.122,0.061,-0.01,-0.02,0.01
0.008,-0.026,1.005,-33.000,-10.000,-74.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.009,-0.027,1.005,-33.000,-10.000,-74.000,0.000,-0.061,0.061,-0.01,-0.03,0.01
0.009,-0.027,1.006,-33.000,-10.000,-74.000,0.000,-0.183,0.000,-0.01,-0.03,0.01
0.010,-0.028,1.005,-33.000,-10.000,-74.000,-0.061,-0.122,0.061,-0.01,-0.03,0.01
0.008,-0.027,1.005,-33.000,-10.000,-74.000,-0.061,-0.122,0.061,-0.01,-0.03,0.01
0.007,-0.025,1.006,-33.000,-13.000,-70.000,-0.061,-0.122,0.061,-0.01,-0.03,0.01
0.009,-0.025,1.005,-33.000,-13.000,-70.000,-0.061,-0.061,0.000,-0.01,-0.03,0.01
0.010,-0.027,1.005,-33.000,-13.000,-70.000,0.000,-0.122,0.000,-0.01,-0.03,0.01
0.009,-0.027,1.005,-33.000,-13.000,-70.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.008,-0.026,1.005,-33.000,-13.000,-70.000,-0.061,-0.061,0.000,-0.01,-0.02,0.01
0.008,-0.025,1.005,-32.000,-10.000,-75.000,0.000,-0.122,-0.061,-0.01,-0.02,0.01
0.008,-0.024,1.004,-32.000,-10.000,-75.000,-0.061,-0.122,0.061,-0.01,-0.02,0.01
0.008,-0.026,1.005,-32.000,-10.000,-75.000,-0.122,-0.122,0.122,-0.01,-0.03,0.01
0.009,-0.028,1.005,-32.000,-10.000,-75.000,-0.061,-0.183,0.000,-0.01,-0.03,0.01
0.009,-0.027,1.004,-32.000,-10.000,-75.000,-0.061,-0.122,-0.061,-0.01,-0.03,0.01
0.009,-0.025,1.005,-31.000,-8.000,-73.000,-0.061,-0.122,-0.061,-0.01,-0.02,0.01
0.007,-0.025,1.005,-31.000,-8.000,-73.000,0.000,-0.183,0.000,-0.01,-0.02,0.01
0.007,-0.026,1.005,-31.000,-8.000,-73.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.007,-0.026,1.004,-31.000,-8.000,-73.000,-0.061,-0.061,0.061,-0.01,-0.02,0.01
0.008,-0.027,1.005,-31.000,-8.000,-73.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.009,-0.026,1.005,-31.000,-8.000,-73.000,0.000,-0.122,0.000,-0.01,-0.03,0.01
0.009,-0.026,1.004,-33.000,-11.000,-73.000,-0.061,-0.122,0.000,-0.01,-0.03,0.01
0.009,-0.027,1.004,-33.000,-11.000,-73.000,-0.061,-0.061,0.061,-0.01,-0.03,0.01
0.008,-0.025,1.006,-33.000,-11.000,-73.000,-0.061,-0.183,0.061,-0.01,-0.03,0.01
0.006,-0.025,1.006,-33.000,-11.000,-73.000,0.000,-0.183,0.000,-0.01,-0.02,0.01
0.007,-0.026,1.005,-33.000,-11.000,-73.000,0.000,-0.183,0.061,-0.01,-0.03,0.01
0.009,-0.026,1.004,-33.000,-11.000,-75.000,-0.061,-0.122,0.000,-0.01,-0.03,0.01
0.008,-0.025,1.004,-33.000,-11.000,-75.000,-0.061,-0.122,0.061,-0.01,-0.02,0.01
0.008,-0.025,1.004,-33.000,-11.000,-75.000,-0.122,-0.122,0.061,-0.01,-0.02,0.01
0.010,-0.026,1.004,-33.000,-11.000,-75.000,-0.061,-0.183,0.000,-0.01,-0.03,0.01
0.008,-0.027,1.004,-33.000,-11.000,-75.000,0.000,-0.183,0.061,-0.01,-0.03,0.01
0.007,-0.026,1.005,-32.000,-12.000,-72.000,0.000,-0.122,0.000,-0.01,-0.03,0.01
0.008,-0.024,1.005,-32.000,-12.000,-72.000,-0.061,-0.183,0.061,-0.01,-0.02,0.01
0.008,-0.024,1.006,-32.000,-12.000,-72.000,0.000,-0.183,0.122,-0.01,-0.02,0.01
0.009,-0.027,1.006,-32.000,-12.000,-72.000,-0.122,-0.183,0.061,-0.01,-0.03,0.01
0.008,-0.029,1.005,-32.000,-12.000,-72.000,-0.061,-0.183,0.000,-0.01,-0.03,0.01
0.007,-0.026,1.005,-33.000,-14.000,-80.000,-0.061,-0.183,-0.061,-0.01,-0.03,0.01
0.006,-0.025,1.004,-33.000,-14.000,-80.000,-0.122,-0.183,0.061,-0.01,-0.03,0.01
0.007,-0.025,1.005,-33.000,-14.000,-80.000,-0.061,-0.183,0.122,-0.01,-0.03,0.01
0.009,-0.026,1.004,-33.000,-14.000,-80.000,-0.061,-0.183,0.061,-0.01,-0.03,0.01
0.009,-0.027,1.005,-33.000,-14.000,-80.000,-0.122,-0.183,0.061,-0.01,-0.03,0.01
0.009,-0.027,1.005,-32.000,-11.000,-71.000,-0.061,-0.122,0.000,-0.01,-0.03,0.01
0.007,-0.026,1.004,-32.000,-11.000,-71.000,-0.061,-0.183,0.061,-0.01,-0.03,0.01
0.007,-0.024,1.004,-32.000,-11.000,-71.000,-0.061,-0.061,0.000,-0.01,-0.02,0.01
0.009,-0.025,1.005,-32.000,-11.000,-71.000,0.000,-0.061,0.061,-0.01,-0.02,0.01
0.007,-0.024,1.005,-32.000,-11.000,-71.000,0.000,-0.122,0.061,-0.01,-0.02,0.01
0.009,-0.025,1.006,-32.000,-11.000,-71.000,-0.061,-0.122,-0.061,-0.01,-0.03,0.01
0.008,-0.025,1.005,-33.000,-10.000,-75.000,-0.122,-0.122,0.000,-0.01,-0.02,0.01
0.008,-0.025,1.005,-33.000,-10.000,-75.000,-0.061,-0.122,0.061,-0.01,-0.03,0.01
0.009,-0.026,1.006,-33.000,-10.000,-75.000,-0.061,-0.183,0.061,-0.01,-0.03,0.01
0.008,-0.026,1.006,-33.000,-10.000,-75.000,0.000,-0.183,0.061,-0.01,-0.03,0.01
0.007,-0.025,1.006,-33.000,-10.000,-75.000,0.000,-0.183,0.061,-0.01,-0.02,0.01
0.007,-0.025,1.005,-33.000,-10.000,-74.000,-0.061,-0.061,0.061,-0.01,-0.03,0.01
0.008,-0.026,1.005,-33.000,-10.000,-74.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.008,-0.025,1.005,-33.000,-10.000,-74.000,-0.061,-0.122,0.000,-0.01,-0.03,0.01
0.007,-0.024,1.003,-33.000,-10.000,-74.000,-0.061,-0.122,0.061,-0.01,-0.02,0.01
0.008,-0.026,1.005,-33.000,-10.000,-74.000,-0.061,-0.122,0.122,-0.01,-0.03,0.01
0.009,-0.026,1.005,-34.000,-12.000,-73.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.007,-0.025,1.005,-34.000,-12.000,-73.000,0.000,-0.122,0.061,-0.01,-0.02,0.01
0.007,-0.024,1.005,-34.000,-12.000,-73.000,-0.061,-0.183,0.000,-0.01,-0.02,0.01
0.009,-0.025,1.005,-34.000,-12.000,-73.000,-0.061,-0.122,0.061,-0.01,-0.02,0.01
0.010,-0.026,1.006,-34.000,-12.000,-73.000,-0.061,-0.122,0.122,-0.01,-0.03,0.01
0.008,-0.025,1.005,-31.000,-13.000,-72.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.006,-0.025,1.005,-31.000,-13.000,-72.000,-0.061,-0.122,0.000,-0.01,-0.02,0.01
0.008,-0.027,1.004,-31.000,-13.000,-72.000,-0.061,-0.061,0.000,-0.01,-0.03,0.01
0.009,-0.027,1.005,-31.000,-13.000,-72.000,-0.061,-0.122,0.000,-0.01,-0.03,0.01
0.008,-0.025,1.004,-31.000,-13.000,-72.000,0.000,-0.122,0.000,-0.01,-0.03,0.01
0.008,-0.025,1.005,-31.000,-13.000,-72.000,0.000,-0.122,0.000,-0.01,-0.02,0.01
0.009,-0.026,1.004,-32.000,-13.000,-71.000,0.000,-0.122,0.000,-0.01,-0.03,0.01
0.009,-0.026,1.004,-32.000,-13.000,-71.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.009,-0.025,1.006,-32.000,-13.000,-71.000,0.000,-0.122,0.061,-0.01,-0.02,0.01
0.009,-0.024,1.006,-32.000,-13.000,-71.000,0.000,-0.061,0.000,-0.01,-0.02,0.01
0.009,-0.024,1.005,-32.000,-13.000,-71.000,0.000,-0.122,0.000,-0.01,-0.02,0.01
0.008,-0.026,1.004,-34.000,-12.000,-75.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.009,-0.026,1.004,-34.000,-12.000,-75.000,0.000,-0.122,0.183,-0.01,-0.03,0.01
0.009,-0.026,1.005,-34.000,-12.000,-75.000,0.000,-0.122,0.061,-0.01,-0.02,0.01
0.009,-0.024,1.005,-34.000,-12.000,-75.000,0.000,-0.122,0.000,-0.01,-0.02,0.01
0.008,-0.025,1.004,-34.000,-12.000,-75.000,0.000,-0.122,0.061,-0.01,-0.02,0.01
0.008,-0.026,1.006,-30.000,-11.000,-73.000,-0.061,-0.122,0.061,-0.01,-0.03,0.01
0.008,-0.025,1.005,-30.000,-11.000,-73.000,-0.061,-0.122,0.061,-0.01,-0.02,0.01
0.007,-0.025,1.005,-30.000,-11.000,-73.000,0.000,-0.061,0.061,-0.01,-0.03,0.01
0.007,-0.026,1.005,-30.000,-11.000,-73.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.008,-0.026,1.003,-30.000,-11.000,-73.000,0.000,-0.122,0.000,-0.01,-0.03,0.01
0.009,-0.025,1.005,-31.000,-12.000,-73.000,0.000,-0.122,-0.061,-0.01,-0.03,0.01
0.008,-0.023,1.005,-31.000,-12.000,-73.000,-0.061,-0.122,0.000,-0.01,-0.02,0.01
0.008,-0.026,1.005,-31.000,-12.000,-73.000,-0.061,-0.061,0.061,-0.01,-0.03,0.01
0.008,-0.028,1.004,-31.000,-12.000,-73.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.009,-0.025,1.004,-31.000,-12.000,-73.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.007,-0.025,1.005,-31.000,-12.000,-73.000,-0.061,-0.122,0.000,-0.01,-0.02,0.01
0.008,-0.026,1.005,-29.000,-12.000,-74.000,-0.061,-0.122,0.061,-0.01,-0.03,0.01
0.008,-0.026,1.005,-29.000,-12.000,-74.000,-0.061,-0.122,0.000,-0.01,-0.03,0.01
0.008,-0.026,1.005,-29.000,-12.000,-74.000,0.061,-0.122,0.000,-0.01,-0.03,0.01
0.009,-0.025,1.005,-29.000,-12.000,-74.000,-0.061,-0.122,0.000,-0.01,-0.03,0.01
0.008,-0.025,1.006,-29.000,-12.000,-74.000,-0.061,-0.122,0.000,-0.01,-0.03,0.01
0.008,-0.026,1.006,-33.000,-11.000,-71.000,0.000,-0.122,0.000,-0.01,-0.03,0.01
0.008,-0.025,1.004,-33.000,-11.000,-71.000,-0.061,-0.122,0.000,-0.01,-0.03,0.01
0.007,-0.025,1.006,-33.000,-11.000,-71.000,-0.061,-0.061,0.000,-0.01,-0.03,0.01
0.009,-0.026,1.006,-33.000,-11.000,-71.000,0.000,-0.061,-0.061,-0.01,-0.03,0.01
0.008,-0.027,1.004,-33.000,-11.000,-71.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.008,-0.026,1.005,-32.000,-11.000,-75.000,0.000,-0.183,0.061,-0.01,-0.03,0.01
0.007,-0.025,1.004,-32.000,-11.000,-75.000,0.000,-0.183,0.061,-0.01,-0.02,0.01
0.008,-0.026,1.004,-32.000,-11.000,-75.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.008,-0.026,1.005,-32.000,-11.000,-75.000,-0.061,-0.122,0.000,-0.01,-0.03,0.01
0.008,-0.026,1.005,-32.000,-11.000,-75.000,-0.061,-0.122,0.061,-0.01,-0.03,0.01
0.008,-0.025,1.006,-30.000,-12.000,-75.000,-0.061,-0.122,0.061,-0.01,-0.02,0.01
0.009,-0.025,1.004,-30.000,-12.000,-75.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.008,-0.025,1.004,-30.000,-12.000,-75.000,0.000,-0.122,0.122,-0.01,-0.03,0.01
0.008,-0.025,1.004,-30.000,-12.000,-75.000,-0.061,-0.122,0.061,-0.01,-0.03,0.01
0.008,-0.026,1.005,-30.000,-12.000,-75.000,-0.061,-0.122,0.061,-0.01,-0.03,0.01
0.007,-0.027,1.004,-31.000,-11.000,-75.000,-0.061,-0.122,0.061,-0.01,-0.03,0.01
0.008,-0.025,1.006,-31.000,-11.000,-75.000,0.000,-0.061,0.000,-0.01,-0.03,0.01
0.008,-0.025,1.005,-31.000,-11.000,-75.000,0.000,-0.122,0.000,-0.01,-0.02,0.01
0.008,-0.026,1.005,-31.000,-11.000,-75.000,0.000,-0.122,0.000,-0.01,-0.03,0.01
0.008,-0.025,1.005,-31.000,-11.000,-75.000,0.000,-0.122,0.061,-0.01,-0.02,0.01
0.008,-0.026,1.005,-31.000,-11.000,-75.000,-0.061,-0.061,0.000,-0.01,-0.03,0.01
0.007,-0.025,1.006,-32.000,-11.000,-78.000,-0.061,-0.061,0.000,-0.01,-0.02,0.01
0.008,-0.026,1.004,-32.000,-11.000,-78.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.008,-0.026,1.005,-32.000,-11.000,-78.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.008,-0.026,1.005,-32.000,-11.000,-78.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.008,-0.026,1.006,-32.000,-11.000,-78.000,-0.122,-0.122,0.061,-0.01,-0.03,0.01
0.010,-0.026,1.006,-35.000,-10.000,-71.000,-0.061,-0.183,0.000,-0.01,-0.03,0.01
0.010,-0.026,1.005,-35.000,-10.000,-71.000,-0.061,-0.122,0.061,-0.01,-0.03,0.01
0.008,-0.026,1.005,-35.000,-10.000,-71.000,-0.061,-0.122,0.000,-0.01,-0.03,0.01
0.008,-0.026,1.004,-35.000,-10.000,-71.000,0.000,-0.061,0.061,-0.01,-0.02,0.01
0.008,-0.025,1.004,-35.000,-10.000,-71.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.007,-0.026,1.005,-35.000,-12.000,-75.000,-0.061,-0.122,0.061,-0.01,-0.02,0.01
0.007,-0.024,1.004,-35.000,-12.000,-75.000,-0.061,-0.061,0.000,-0.01,-0.02,0.01
0.008,-0.026,1.004,-35.000,-12.000,-75.000,0.000,-0.061,0.061,-0.01,-0.02,0.01
0.007,-0.026,1.005,-35.000,-12.000,-75.000,-0.061,-0.061,0.000,-0.01,-0.03,0.01
0.008,-0.026,1.005,-35.000,-12.000,-75.000,-0.061,-0.183,0.061,-0.01,-0.03,0.01
0.008,-0.026,1.006,-32.000,-12.000,-74.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.008,-0.025,1.006,-32.000,-12.000,-74.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.008,-0.025,1.005,-32.000,-12.000,-74.000,0.000,-0.183,0.061,-0.01,-0.03,0.01
0.008,-0.027,1.005,-32.000,-12.000,-74.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.008,-0.026,1.006,-32.000,-12.000,-74.000,0.000,-0.122,0.122,-0.01,-0.03,0.01
0.009,-0.026,1.006,-32.000,-12.000,-74.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.008,-0.026,1.005,-32.000,-10.000,-75.000,-0.061,-0.061,0.000,-0.01,-0.03,0.01
0.007,-0.026,1.005,-32.000,-10.000,-75.000,0.000,-0.061,0.000,-0.01,-0.02,0.01
0.009,-0.026,1.005,-32.000,-10.000,-75.000,-0.061,-0.122,0.000,-0.01,-0.03,0.01
0.007,-0.025,1.005,-32.000,-10.000,-75.000,-0.061,-0.122,0.061,-0.01,-0.02,0.01
0.008,-0.025,1.005,-32.000,-10.000,-75.000,-0.122,-0.061,0.061,-0.01,-0.02,0.01
0.008,-0.026,1.006,-30.000,-12.000,-73.000,0.000,-0.061,0.061,-0.01,-0.03,0.01
0.008,-0.025,1.005,-30.000,-12.000,-73.000,0.000,-0.122,0.000,-0.01,-0.02,0.01
0.007,-0.025,1.006,-30.000,-12.000,-73.000,0.000,-0.183,0.061,-0.01,-0.03,0.01
0.009,-0.025,1.005,-30.000,-12.000,-73.000,0.000,-0.183,0.000,-0.01,-0.03,0.01
0.008,-0.025,1.004,-30.000,-12.000,-73.000,-0.061,-0.122,0.000,-0.01,-0.02,0.01
0.008,-0.026,1.005,-32.000,-10.000,-75.000,-0.061,-0.061,0.061,-0.01,-0.03,0.01
0.008,-0.026,1.005,-32.000,-10.000,-75.000,-0.122,-0.122,0.061,-0.01,-0.03,0.01
0.008,-0.025,1.004,-32.000,-10.000,-75.000,-0.122,-0.122,-0.061,-0.01,-0.03,0.01
0.008,-0.026,1.005,-32.000,-10.000,-75.000,-0.061,-0.122,0.000,-0.01,-0.03,0.01
0.009,-0.025,1.005,-32.000,-10.000,-75.000,-0.061,-0.122,0.061,-0.01,-0.03,0.01
0.008,-0.026,1.005,-32.000,-11.000,-74.000,0.000,-0.122,0.000,-0.01,-0.03,0.01
0.008,-0.026,1.004,-32.000,-11.000,-74.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.008,-0.025,1.004,-32.000,-11.000,-74.000,0.000,-0.122,0.061,-0.01,-0.02,0.01
0.008,-0.025,1.005,-32.000,-11.000,-74.000,0.000,-0.061,0.061,-0.01,-0.03,0.01
0.007,-0.026,1.004,-32.000,-11.000,-74.000,-0.061,-0.122,0.000,-0.01,-0.03,0.01
0.007,-0.026,1.005,-32.000,-11.000,-74.000,-0.061,-0.122,0.000,-0.01,-0.03,0.01
0.007,-0.025,1.006,-32.000,-12.000,-73.000,0.000,-0.122,0.061,-0.01,-0.02,0.01
0.007,-0.025,1.005,-32.000,-12.000,-73.000,-0.122,-0.122,0.000,-0.01,-0.03,0.01
0.007,-0.026,1.005,-32.000,-12.000,-73.000,-0.061,-0.122,0.000,-0.01,-0.03,0.01
0.008,-0.025,1.005,-32.000,-12.000,-73.000,0.000,-0.122,0.000,-0.01,-0.03,0.01
0.008,-0.025,1.003,-32.000,-12.000,-73.000,0.000,-0.122,0.061,-0.01,-0.02,0.01
0.008,-0.026,1.005,-32.000,-11.000,-69.000,0.000,-0.183,0.061,-0.01,-0.03,0.01
0.008,-0.027,1.005,-32.000,-11.000,-69.000,0.000,-0.122,0.061,-0.01,-0.03,0.01
0.009,-0.026,1.005,-32.000,-11.000,-69.000,-0.061,-0.122,0.000,-0.01,-0.03,0.01
